timestamp,categorie,code_postal,premiere_visite,comment_avez_vous_entendu_parler_de_nous
2020/10/06 12:39:32 PM EST,"Corporatif (enseignants, service-de-garde, garderies, etc.)",G7A 4s2,Non,Famille et amis
2020/10/06 12:45:53 PM EST,Parents avec jeunes enfants,G2e 4e8,Non,Famille et amis
2020/10/06 1:43:03 PM EST,Parents avec jeunes enfants,G1g 1a6,Non,Famille et amis
2020/10/06 2:24:04 PM EST,Parents avec jeunes enfants,G3l 2j6,Oui,Famille et amis
2020/10/06 2:30:08 PM EST,Parents avec jeunes enfants,G1x2n1,Oui,"Événements (Conteneur de l'amour, parade des jouets, etc)"
2020/10/07 9:55:54 AM EST,Parents avec jeunes enfants,G3l 2j6,Oui,Famille et amis
2020/10/07 9:57:01 AM EST,Grands-parents,G3k2s9,Non,Internet
2020/10/07 10:23:26 AM EST,"Corporatif (enseignants, service-de-garde, garderies, etc.)",G3a 1w8,Non,Famille et amis
2020/10/07 10:50:25 AM EST,Parents avec jeunes enfants,J0c 1c0,Non,Famille et amis
2020/10/07 10:53:35 AM EST,Parents avec jeunes enfants,G1x2n1,Oui,"Événements (Conteneur de l'amour, parade des jouets, etc)"
2020/10/07 10:54:05 AM EST,Parents avec jeunes enfants,G1l2w9,Oui,Radio
2020/10/07 10:55:23 AM EST,"Corporatif (enseignants, service-de-garde, garderies, etc.)",G0a3k0,Non,École 
2020/10/07 10:58:13 AM EST,Parents avec jeunes enfants,G6v9n3,Oui,"Événements (Conteneur de l'amour, parade des jouets, etc)"
2020/10/07 12:48:19 PM EST,Parents avec jeunes enfants,G0s2g0,Non,Radio
2020/10/07 1:44:58 PM EST,"Corporatif (enseignants, service-de-garde, garderies, etc.)",G1j 1b1,Non,Famille et amis
2020/10/07 2:17:15 PM EST,Parents avec jeunes enfants,G2e5h3,Non,Famille et amis
2020/10/07 2:28:13 PM EST,Parents avec jeunes enfants,G1h 1n4,Non,Famille et amis
2020/10/07 2:45:54 PM EST,Parents avec jeunes enfants,G1b 1v3,Non,Facebook 
2020/10/07 2:52:05 PM EST,Grands-parents,G3a 2a5,Non,Passait par hasard
2020/10/08 9:40:20 AM EST,Grands-parents,G3a 2a5,Non,Passait par hasard
2020/10/08 9:41:08 AM EST,Parents avec jeunes enfants,G0s1m0,Non,"Famille, amis, collègues (etc.)"
2020/10/08 9:59:17 AM EST,"Corporatif (enseignants, service-de-garde, garderies, etc.)",G5y 4s4,Non,"Famille, amis, collègues (etc.)"
2020/10/08 10:08:34 AM EST,Parents avec jeunes enfants,G1x2c6,Non,"Famille, amis, collègues (etc.)"
2020/10/08 10:10:51 AM EST,Parents avec jeunes enfants,G1c2b3,Non,"Réseaux sociaux (Facebook, Instagram...)"
2020/10/08 10:17:39 AM EST,Parents avec jeunes enfants,G6v9n3,Oui,"Événements (Conteneur de l'amour, parade des jouets, etc)"
2020/10/08 10:23:45 AM EST,Grands-parents,G2b4z8,Oui,"Réseaux sociaux (Facebook, Instagram...)"
2020/10/08 10:55:39 AM EST,Grands-parents,G1g3x1,Non,"Réseaux sociaux (Facebook, Instagram...)"
2020/10/08 10:59:22 AM EST,Parents avec jeunes enfants,G3n0h3,Non,"Famille, amis, collègues (etc.)"
2020/10/08 11:04:28 AM EST,Parents avec jeunes enfants,G3a g1m2y5,Non,"Famille, amis, collègues (etc.)"
2020/10/08 11:33:00 AM EST,Parents avec jeunes enfants,G1x2k2,Non,"Famille, amis, collègues (etc.)"
2020/10/08 12:06:20 PM EST,Parents avec jeunes enfants,G1j2b4,Non,"Réseaux sociaux (Facebook, Instagram...)"
2020/10/08 12:31:00 PM EST,Personne seule,G2g1m3,Non,"Famille, amis, collègues (etc.)"
2020/10/08 12:31:29 PM EST,Parents avec jeunes enfants,G1l2w9,Oui,Radio
2020/10/08 12:47:25 PM EST,Parents avec jeunes enfants,G1j4s1,Oui,"Réseaux sociaux (Facebook, Instagram...)"
2020/10/08 1:25:15 PM EST,Grands-parents,G1x4v1,Non,"Famille, amis, collègues (etc.)"
2020/10/08 1:34:10 PM EST,Grands-parents,G3n3b4,Non,"Famille, amis, collègues (etc.)"
2020/10/08 2:28:40 PM EST,Parents avec jeunes enfants,G1p4j8,Non,Radio
2020/10/08 2:43:58 PM EST,Grands-parents,G1v1z5,Non,TV
2020/10/09 9:55:33 AM EST,Parents avec jeunes enfants,G1l2w9,Oui,Radio
2020/10/09 1:53:18 PM EST,Grands-parents,G1v1z5,Non,TV
2020/10/10 9:28:41 AM EST,Parents avec jeunes enfants,G2G 1B8,Non,"Réseaux sociaux (Facebook, Instagram...)"
2020/10/10 9:32:30 AM EST,Grands-parents,G3n 1z7,Non,"Famille, amis, collègues (etc.)"
2020/10/10 9:34:34 AM EST,Grands-parents,G1v1z5,Non,TV
2020/10/10 9:34:36 AM EST,Parents avec jeunes enfants,G1p4j8,Non,Radio
2020/10/10 9:34:36 AM EST,Grands-parents,G3n3b4,Non,"Famille, amis, collègues (etc.)"
2020/10/10 9:34:37 AM EST,Grands-parents,G1x4v1,Non,"Famille, amis, collègues (etc.)"
2020/10/10 9:34:38 AM EST,Parents avec jeunes enfants,G1j4s1,Oui,"Réseaux sociaux (Facebook, Instagram...)"
2020/10/10 9:34:42 AM EST,Parents avec jeunes enfants,G1x2k2,Non,"Famille, amis, collègues (etc.)"
2020/10/10 9:34:43 AM EST,Parents avec jeunes enfants,G3a g1m2y5,Non,"Famille, amis, collègues (etc.)"
2020/10/10 9:34:44 AM EST,Parents avec jeunes enfants,G3n0h3,Non,"Famille, amis, collègues (etc.)"
2020/10/10 9:34:45 AM EST,Grands-parents,G1g3x1,Non,"Réseaux sociaux (Facebook, Instagram...)"
2020/10/10 9:34:46 AM EST,Grands-parents,G2b4z8,Oui,"Réseaux sociaux (Facebook, Instagram...)"
2020/10/10 9:34:47 AM EST,Parents avec jeunes enfants,G1c2b3,Non,"Réseaux sociaux (Facebook, Instagram...)"
2020/10/10 9:34:48 AM EST,Parents avec jeunes enfants,G1x2c6,Non,"Famille, amis, collègues (etc.)"
2020/10/10 9:34:49 AM EST,"Corporatif (enseignants, service-de-garde, garderies, etc.)",G5y 4s4,Non,"Famille, amis, collègues (etc.)"
2020/10/10 9:34:50 AM EST,Parents avec jeunes enfants,G0s1m0,Non,"Famille, amis, collègues (etc.)"
2020/10/10 9:34:51 AM EST,Grands-parents,G3a 2a5,Non,Passait par hasard
2020/10/10 9:34:51 AM EST,Parents avec jeunes enfants,G1b 1v3,Non,Facebook 
2020/10/10 9:34:52 AM EST,Parents avec jeunes enfants,G1h 1n4,Non,
2020/10/10 9:34:53 AM EST,Parents avec jeunes enfants,G2e5h3,Non,
2020/10/10 9:34:53 AM EST,"Corporatif (enseignants, service-de-garde, garderies, etc.)",G1j 1b1,Non,
2020/10/10 9:34:56 AM EST,Parents avec jeunes enfants,G0s2g0,Non,Radio
2020/10/10 9:34:57 AM EST,"Corporatif (enseignants, service-de-garde, garderies, etc.)",G0a3k0,Non,École 
2020/10/10 9:34:57 AM EST,Parents avec jeunes enfants,J0c 1c0,Non,
2020/10/10 9:34:58 AM EST,"Corporatif (enseignants, service-de-garde, garderies, etc.)",G3a 1w8,Non,
2020/10/10 9:34:59 AM EST,Grands-parents,G3k2s9,Non,Internet
2020/10/10 9:34:59 AM EST,Parents avec jeunes enfants,G3l 2j6,Oui,
2020/10/10 9:35:01 AM EST,Parents avec jeunes enfants,G1g 1a6,Non,
2020/10/10 9:35:03 AM EST,Parents avec jeunes enfants,G2e 4e8,Non,
2020/10/10 9:35:04 AM EST,"Corporatif (enseignants, service-de-garde, garderies, etc.)",G7A 4s2,Non,
2020/10/10 9:55:09 AM EST,Parents avec jeunes enfants,G1l 2H4,Non,Ne se rappelle plus
2020/10/10 10:04:47 AM EST,"Corporatif (enseignants, service-de-garde, garderies, etc.)",G0m 1k9,Non,"Réseaux sociaux (Facebook, Instagram...)"
2020/10/10 10:20:33 AM EST,Grands-parents,G2e 5y3,Non,"Famille, amis, collègues (etc.)"
2020/10/10 10:34:29 AM EST,Grands-parents,G3K 2A5,Oui,"Famille, amis, collègues (etc.)"
2020/10/10 10:40:41 AM EST,Parents avec jeunes enfants,G3e 1k4,Non,"Famille, amis, collègues (etc.)"
2020/10/10 10:53:25 AM EST,Parents avec jeunes enfants,G1J 3L7,Non,
